metric_name,value,unit,year,page_number,confidence_score
Percentage,0.0,%,,18,0.9000000000000001
Average Salary Per Employee of Dedicated Firms,75000.0,€k,,19,0.8500000000000001
Average Salary Per Employee of Diversified Firms,155000.0,€k,,19,0.8500000000000001
Number of Employees of Dedicated Firms,3372.0,,,19,0.8500000000000001
Number of Employees of Diversified Firms,3983.0,,,19,0.8500000000000001
Total GVA of Dedicated Firms,459000000.0,€,,19,0.8500000000000001
Total GVA of Diversified Firms,617000000.0,€,,19,0.8500000000000001
Total Estimated GVA,1100000000.0,€,,19,0.8500000000000001
Average Salary E,75.0,k€,,20,0.8500000000000001
Average Salary P,136.0,k€,,20,0.8500000000000001
Number of Employees E,3372.0,,,20,0.8500000000000001
GVA E,459.0,m€,,20,0.8500000000000001
Average Salary E,77.0,k€,,20,0.8500000000000001
Average Salary P,155.0,k€,,20,0.8500000000000001
Number of Employees E,3983.0,,,20,0.8500000000000001
GVA E,617.0,m€,,20,0.8500000000000001
Total GVA,1100.0,m€,,20,0.8500000000000001
Total Revenue,2100.0,m€,,20,0.8500000000000001
number of cyber security firms in the US,3500.0,,,21,0.8500000000000001
number of cyber security firms in Ireland,491.0,,,21,0.8500000000000001
percentage of employment supported by US firms in Ireland,50.0,%,,21,0.8500000000000001
Number of known firms,55.0,domestic SMEs,,22,0.8500000000000001
Number of firms,424.0,,,22,0.8500000000000001
Number of firms,424.0,"5 per 100,000 national population",,22,0.8500000000000001
20% of global FDI,20.0,%,2016,22,0.9500000000000002
c.$6.5bn dollars’ worth of cyber security technology,6.5,bn dollars,2016,22,0.9500000000000002
€200m,200.0,m euros,,22,0.9500000000000002
funding amount,41000000.0,USD,2019,26,0.8500000000000001
number of funding rounds,3.0,,2019,26,0.8500000000000001
funding amount,6500000.0,EUR,2017,26,0.9000000000000001
number of funding rounds,3.0,,2017,26,0.9000000000000001
number of hospitals,23.0,,,26,0.8500000000000001
number of outpatient facilities,830.0,,,26,0.8500000000000001
funding amount,3300000.0,USD,2021,26,0.8500000000000001
number of funding rounds,1.0,,2021,26,0.8500000000000001
funding amount,2400000.0,EUR,2019,26,0.9000000000000001
number of funding rounds,2.0,,2019,26,0.9000000000000001
GVA,1075523670.0,€,2021,27,0.8500000000000001
GVA,1183076038.0,€,2022,27,0.8500000000000001
GVA,1301383641.0,€,2023,27,0.8500000000000001
GVA,1431522005.0,€,2024,27,0.8500000000000001
GVA,1574674206.0,€,2025,27,0.8500000000000001
GVA,1732141627.0,€,2026,27,0.8500000000000001
GVA,1905355789.0,€,2027,27,0.8500000000000001
GVA,2095891368.0,€,2028,27,0.8500000000000001
GVA,2305480505.0,€,2029,27,0.8500000000000001
GVA,2536028556.0,€,2030,27,0.8500000000000001
Employment,7351.0,,2021,27,0.9000000000000001
Employment,8086.0,,2022,27,0.9000000000000001
Employment,8895.0,,2023,27,0.8500000000000001
Employment,9784.0,,2024,27,0.8500000000000001
Employment,10763.0,,2025,27,0.8500000000000001
Employment,11839.0,,2026,27,0.8500000000000001
Employment,13023.0,,2027,27,0.8500000000000001
Employment,14225.0,,2028,27,0.8500000000000001
Employment,15758.0,,2029,27,0.8500000000000001
Employment,17333.0,,2030,27,0.8500000000000001
Amount,46000000.0,GBP,,30,0.8500000000000001
Amount,39000.0,,,30,0.8
Amount,51000000.0,GBP,,30,0.8500000000000001
Percentage,87.0,%,,30,0.8500000000000001
Amount,29.0,,,30,0.8
Amount,17.0,,,30,0.8
Amount,14.0,,,30,0.8
Amount,13.0,,,30,0.8
Amount,8.0,,,30,0.8
Amount,5.0,,,30,0.8
Amount,4.0,,,30,0.8
Amount,1.0,,,30,0.8
Number of companies,500.0,,,3,1.0
Number of people employed,7500.0,,,3,1.0
Cyber opportunity jobs,17000.0,,2030,3,1.0
Number of firms,489.0,count,,4,1.0
Number of cyber security professionals,7351.0,count,,4,1.0
Percentage of employment supported by foreign direct investment,71.0,%,,4,1.0
Percentage of firms headquartered in the United States,28.0,%,,4,1.0
Percentage of employment supported by firms headquartered in the United States,55.0,%,,4,1.0
Number of offices,734.0,offices,,5,1.0
Number of firms,489.0,firms,,5,1.0
Percentage of offices in notable locations,73.0,%,,5,1.0
Percentage of firms offering managed security service provision,36.0,%,,5,1.0
"Percentage of firms offering securing applications, networks, and cloud environments services",31.0,%,,5,1.0
"Percentage of firms offering risk, compliance, and fraud services",28.0,%,,5,1.0
Annual growth rate of the workforce,10.0,%,,5,1.0
Estimated number of cyber security professionals by 2030,17000.0,professionals,2030,5,1.0
15,15.0,,,8,1.0
489,489.0,,,8,1.0
75%,75.0,%,,8,1.0
Number of pages,17.0,,,9,1.0
Number of firms,489.0,,,9,1.0
18,18.0,,,10,1.0
18,18.0,,,10,1.0
19,19.0,,,10,1.0
20,20.0,,,11,1.0
21,21.0,,,11,1.0
Number of firms,22.0,,,12,1.0
Number of firms,23.0,,,12,1.0
Number of firms,489.0,,,12,1.0
Proportion of large companies,44.0,%,,12,1.0
Proportion of large firms in Ireland’s cyber security sector,44.0,%,,12,1.0
Proportion of large firms in UK cyber security sector,10.0,%,,12,1.0
Proportion of SMEs in Ireland’s cyber security sector,56.0,%,,12,1.0
Proportion of medium SMEs in Ireland’s cyber security sector,12.0,%,,12,1.0
Proportion of small SMEs in Ireland’s cyber security sector,16.0,%,,12,1.0
Proportion of micro SMEs in Ireland’s cyber security sector,28.0,%,,12,1.0
160,160.0,,,13,1.0
33%,33.0,%,,13,1.0
329,329.0,,,13,1.0
67%,67.0,%,,13,1.0
240,240.0,,,13,1.0
139,139.0,,,13,1.0
28%,28.0,%,,13,1.0
53,53.0,,,13,1.0
11%,11.0,%,,13,1.0
30,30.0,,,13,1.0
6%,6.0,%,,13,1.0
NUMBER OF FIRMS PER TAXONOMY GROUP,26.0,,,14,1.0
NUMBER OF FIRMS PER TAXONOMY GROUP,10.0,,,14,1.0
734,734.0,,,15,1.0
37,37.0,,,15,1.0
129,129.0,,,15,1.0
39,39.0,,,15,1.0
191,191.0,,,15,1.0
734,734.0,,,15,1.0
Number of offices in Dublin region,30.0,,,16,1.0
Number of offices in Cork region,129.0,,,16,1.0
Number of offices in Limerick region,30.0,,,16,1.0
Cyber security related employment in Ireland,7351.0,people,,17,1.0
Number of firms employing between one to nine cyber security professionals,65.0,%,,17,1.0
Number of firms employing between 10 – 49 cyber security professionals,27.0,%,,17,1.0
Number of firms employing 50+ cyber security staff,8.0,%,,17,1.0
CYBER SECURITY EMPLOYMENT,55.0,%,,18,1.0
CYBER SECURITY EMPLOYMENT,2101.0,,,18,1.0
38,38.0,,,20,1.0
39,39.0,,,20,1.0
"3,372",3372.0,,,20,1.0
"7,351",7351.0,,,20,1.0
"1,838",1838.0,,,20,1.0
17,17.0,,,20,1.0
Number of known firms,55.0,domestic SMEs,,22,1.0
Number of firms,424.0,firms,,22,1.0
Number of firms,424.0,firms,,22,1.0
Percentage of global FDI,20.0,%,2016,22,1.0
Number of employees in the cyber security sector in Ireland,7351.0,,2022,23,1.0
Estimated number of employees in the cyber security sector in Ireland (National Cyber Security Strategy),6500.0,,2019,23,1.0
Growth rate of the cyber security sector in Ireland,10.0,%,,23,1.0
Percentage of firms surveyed predicting growth,83.0,%,,23,1.0
Number of firms surveyed,76.0,,,23,1.0
Annual shortfall of people in cyber security roles in Ireland,10000.0,,,23,1.0
Number of active job vacancies related to cyber security skills in Ireland,800.0,,2021,23,1.0
NUMBER OF POSTS,27.0,,,24,1.0
NUMBER OF CYBER SECURITY PROFESSIONALS,15000.0,+,2030,24,1.0
NUMBER OF PROFESSIONALS TO BE TRAINED,250000.0,,2025,24,1.0
NUMBER OF PROFESSIONALS TRAINED,250000.0,,2025,24,1.0
31,31.0,,,25,1.0
76%,76.0,%,2020,25,1.0
489,489.0,,,25,1.0
Number of people employed in the cyber security sector,7350.0,people,2022,27,1.0
Growth rate,10.0,%,,27,1.0
Number of cyber security roles,17333.0,roles,2030,27,1.0
Businesses expecting growth,83.0,%,,28,1.0
Businesses expecting growth rate of 25% or higher,51.0,%,,28,1.0
Number of acquisitions,14.0,number,,28,1.0
Number of new jobs created by Microsoft's pre-employment training course,85.0,number,,28,1.0
Percentage of surveyed firms that export,80.0,%,,29,1.0
Number of surveyed firms,71.0,,,29,1.0
Percentage of surveyed firms that export,83.0,%,,29,1.0
Percentage of surveyed firms that export,79.0,%,,29,1.0
Number of responses from domestic firms that export to the UK,37.0,,,29,1.0
Percentage of domestic firms that export to the UK,93.0,%,,29,1.0
Percentage of foreign-owned firms that export to the EU,100.0,%,,29,1.0
58,58.0,,,30,1.0
59,59.0,,,30,1.0
18,18.0,months,,30,1.0
budget for cyber security services,47.0,,null,31,1.0
percentage of businesses that suffered a cybercrime,61.0,%,null,31,1.0
percentage of firms engaged with a cyber security cluster,56.0,%,null,31,1.0
"percentage of firms engaged with a university, Institute of Technology, or other higher education provider",51.0,%,null,31,1.0
percentage of firms engaged with a public organisation that offered economic development support,44.0,%,null,31,1.0
percentage of firms engaged with other cyber security businesses,35.0,%,null,31,1.0
percentage of firms engaged at meetup events,33.0,%,null,31,1.0
percentage of firms engaged with other public sector bodies,20.0,%,null,31,1.0
percentage of firms that cited increasing awareness of brand as a reason for collaboration,60.0,%,null,31,1.0
percentage of firms that cited making new business deals as a reason for collaboration,46.0,%,null,31,1.0
percentage of firms that cited supporting R&D activities as a reason for collaboration,31.0,%,null,31,1.0
percentage of firms that cited providing mentorships to others as a reason for collaboration,21.0,%,null,31,1.0
percentage of firms that cited attracting investment as a reason for collaboration,17.0,%,null,31,1.0
Number of firms offering a product or service,489.0,,,32,1.0
Number of employees in the sector,7351.0,,,32,1.0
Percentage of employees employed in a firm headquartered overseas,71.0,%,,32,1.0
Percentage of employment supported by US-headquartered firms,55.0,%,,32,1.0
Number of offices across the country,734.0,,,32,1.0
64,64.0,,,33,1.0
65,65.0,,,33,1.0
10%+,10.0,%,,33,1.0
"17,000",17000.0,,,33,1.0
51,51.0,,,33,1.0
"10,000",10000.0,,,33,1.0
61%,61.0,%,,33,1.0
66,66.0,,,34,1.0
67,67.0,,,34,1.0
55,55.0,,,34,1.0
70,70.0,,,36,1.0
71,71.0,,,36,1.0
100,100.0,,,36,1.0
489,489.0,,,36,1.0
100,100.0,,,36,1.0
10,10.0,%,,36,1.0
72,72.0,,,37,1.0
73,73.0,,,37,1.0
"250,000",250000.0,jobs,2021,37,1.0
10 times more,10.0,,2021,37,1.0
74,74.0,,,38,1.0
75,75.0,,,38,1.0
Labour Market Overview,44.0,,,2,1.0
Defining Cyber Security,20.0,,,2,1.0
Number of Registered Firms by Size,23.0,,,2,1.0
Number of Firms by Headquartered Location,24.0,,,2,1.0
Location of Cyber Security Firms,28.0,,,2,1.0
Estimated Cyber Security Revenue,33.0,,,2,1.0
Estimated Cyber Security Employment,33.0,,,2,1.0
number of cyber security providers,489.0,,,9,1.0
NUMBER OF FIRMS,489.0,,,12,1.0
PERCENTAGE OF LARGE FIRMS,44.0,%,,12,1.0
PERCENTAGE OF LARGE FIRMS IN UK,10.0,%,2021,12,1.0
PERCENTAGE OF SMEs,56.0,%,,12,1.0
PERCENTAGE OF MEDIUM FIRMS,12.0,%,,12,1.0
PERCENTAGE OF SMALL FIRMS,16.0,%,,12,1.0
PERCENTAGE OF MICRO FIRMS,28.0,%,,12,1.0
Dedication of Service,160.0,,,19,1.0
Dedicated Cyber Security Services,160.0,,,19,1.0
Diversified Services That Include a Cyber Security Offering,329.0,,,19,1.0
Country of Origin - Domestic Firms,240.0,,,19,1.0
Country of Origin - Foreign-Owned Firms,249.0,,,19,1.0
Dedicated Cyber Security Services,3368.0,,,19,1.0
Diversified Services That Include a Cyber Security Offering,3983.0,,,19,1.0
Country of Origin - Domestic Firms,2101.0,,,19,1.0
Country of Origin - Foreign-Owned Firms,5250.0,,,19,1.0
NO. OF FIRMS,92.0,,,20,1.0
% OF FIRMS,19.0,%,,20,1.0
Percentage of employment supported by FDI,70.0,%,,21,1.0
Percentage of employment supported by FDI,79.0,%,,21,1.0
Number of cyber security job roles,5000.0,roles,2030,21,1.0
Cyber security investment per capita,10.0,times,,21,1.0
number of cyber security firms in the US,3500.0,firms,,21,1.0
number of cyber security firms in Ireland,491.0,firms,,21,1.0
Number of known firms,55.0,domestic SMEs,,22,1.0
Number of firms,20.0,,,22,1.0
Number of firms,424.0,,,22,1.0
FDI,20.0,%,2016,22,1.0
Percentage of surveyed firms that export,80.0,%,,29,1.0
Percentage of surveyed firms that export,83.0,%,,29,1.0
Percentage of surveyed firms that export,79.0,%,,29,1.0
